ID,Title,Rhythm,Key,Provenance,Sound file session speed,Sound file learning speed,AKA,Notes
1,Pull the Knife and Stick it Again,Jig,Emin,Irish,,,Stick the Knife and Twist it,Often played with Buried My Wife
2,Buried My Wife and Danced on Her Grave,Jig,GMaj,Irish,https://www.youtube.com/watch?v=bE-WDVJrIYQ,,,
3,Tamlin,Reel,Dmin,Irish,https://www.youtube.com/watch?v=kaoml9_Ue1g,,The Glasgow Reel,"Be careful playing in Ireland, according to legend this tune brings in the faeries."
4,The Torn Jacket,Reel,DMaj,Irish,https://www.youtube.com/watch?v=wAan9UHKcM4,,,
5,Sunny Banks,Reel,DMaj,Irish,,,,
6,The Morning Star,Reel,DMaj,Irish,,,,
7,Rolling in the Ryegrass,Reel,DMaj,Irish,,,,
8,Kitty Lie Over,Jig,DMaj,Irish,,,,
9,Jim Ward's ,Jig,AMix,Irish,,,,
10,Out On the Ocean,Jig,GMaj,Irish,,,,
11,Fead An Iolar,Waltz,GMaj,Irish,,,,
12,Jimmy's Return,Reel,Bmin,Irish,,,,
13,Humours of Glenard,Jig,DMaj,Irish,,,,
14,Have a Drink With Me,Jig,Emin,Irish,,,,
15,Come West Along the Road,Reel,GMaj,Irish,,,,
16,April Waltz,Waltz,Emin,Irish,,,,
17,Tommy People's,Reel,GMaj,Irish,,,,
18,Ookpik Waltz,Waltz,GMaj,Cape Breton,,,,
19,Grondeuse Wilfred,Reel,GMaj,Quebecois,,,,
20,La Belle Catherine,Reel,DMaj,Quebecois,,,,
21,Reel a Tido,Reel,DMaj,Quebecois,,,,
22,Le Step a Ti-phonse,Reel,DMaj,Quebecois,,,,
23,La Rachoudine,Reel,GMaj,Quebecois,,,,
24,Hommage du Edmond Pariseau,Reel,DMin,Quebecois,,,,
25,St Kilda Wedding,Reel,AMaj,Scottish,,,,
26,Brose and Butter,Slip Jig,GMaj,Scottish,,,,
27,Maggie's Pancakes,Reel,DMaj,Scottish,,,,
28,Angeline the Baker,Polka,DMaj,American,,,,
29,Cold Frosty Morning,Reel,ADor,Scottish,,,,
30,Yell in the Shoats,Reel,DMaj,American,,,,
31,Jerusalem Ridge,Reel,Dmin,American,,,,
32,Sal's Got Mud Between Her Toes,Reel,GMaj,American,,,,
33,Danse Androu,Reel,EMin,Galician,,,,
34,Shove The Pig's Foot A Little Further Into The Fire,Reel,GMaj,American,,,,
35,Midnight On The Water,Waltz,DMaj,American,,,,
36,Clapwaltzen,Waltz,Emin,Swedish,,,,
37,Lad O'Beirne's,Reel,GMaj,Scottish,,,,
38,Foxhunters Reel,Reel,GMaj,Irish,,,,
39,Flowers of Red Hill,Reel,ADor,Irish,,,,
40,Man of the House,Reel,Emin,Irish,,,,
41,Eleanor Plunkett,Waltz,GMaj,Irish,,,,
42,Foxhunter's Jig,Jig,DMaj,Irish,,,,
43,John Ryan's,Polka,DMaj,Irish,,,,
44,La Bruxa Muniera,Jig,Emin,Galician,,,,
45,The Hare in the Corn,Jig,DMix,Irish,,,,
